"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 10 07:39:18 UTC 2026","Thu Sep 10 07:39:19 UTC 2026","332","","PlaywrightScriptPractice.LoginTest","","PlaywrightScriptPractice.LoginTest","TC_Login_004_InvalidUsername","TC_Login_004_InvalidUsername()",""
"passed","Thu Sep 10 07:39:09 UTC 2026","Thu Sep 10 07:39:17 UTC 2026","7935","","PlaywrightScriptPractice.Uploadfile_Locators_Test","","PlaywrightScriptPractice.Uploadfile_Locators_Test","Locators_Uploadfile","Locators_Uploadfile()",""
"passed","Thu Sep 10 07:39:19 UTC 2026","Thu Sep 10 07:39:19 UTC 2026","331","","PlaywrightScriptPractice.LoginTest","","PlaywrightScriptPractice.LoginTest","TC_Login_006_InvalidUsernamePassword","TC_Login_006_InvalidUsernamePassword()",""
"passed","Thu Sep 10 07:39:40 UTC 2026","Thu Sep 10 07:39:47 UTC 2026","7429","","PlaywrightScriptPractice.LoginTest","","PlaywrightScriptPractice.LoginTest","TC_Login_001_SuccessfulLogin","TC_Login_001_SuccessfulLogin(String, String) [3] problem_user, secret_sauce",""
"passed","Thu Sep 10 07:37:59 UTC 2026","Thu Sep 10 07:38:04 UTC 2026","5296","","PlaywrightScriptPractice.GetByPlaceholders_Locators_Test","","PlaywrightScriptPractice.GetByPlaceholders_Locators_Test","Locators_GetByPlaceholders","Locators_GetByPlaceholders()",""
"passed","Thu Sep 10 07:37:34 UTC 2026","Thu Sep 10 07:37:49 UTC 2026","15553","","PlaywrightScriptPractice.GetByText_Locators_Test","","PlaywrightScriptPractice.GetByText_Locators_Test","Locators_GetByText","Locators_GetByText()",""
"passed","Thu Sep 10 07:37:50 UTC 2026","Thu Sep 10 07:37:59 UTC 2026","9087","","PlaywrightScriptPractice.GetByTitle_Locators_Test","","PlaywrightScriptPractice.GetByTitle_Locators_Test","Locators_GetByTitle","Locators_GetByTitle()",""
"passed","Thu Sep 10 07:39:27 UTC 2026","Thu Sep 10 07:39:40 UTC 2026","12410","","PlaywrightScriptPractice.LoginTest","","PlaywrightScriptPractice.LoginTest","TC_Login_001_SuccessfulLogin","TC_Login_001_SuccessfulLogin(String, String) [2] performance_glitch_user, secret_sauce",""
"passed","Thu Sep 10 07:39:47 UTC 2026","Thu Sep 10 07:39:54 UTC 2026","6397","","PlaywrightScriptPractice.GetByAltTxt_Locators_Test","","PlaywrightScriptPractice.GetByAltTxt_Locators_Test","Locators_GetByAlttxt","Locators_GetByAlttxt()",""
"failed","Thu Sep 10 07:40:09 UTC 2026","Thu Sep 10 07:40:16 UTC 2026","7437","","PlaywrightScriptPractice.LoginPage_Assertion","","PlaywrightScriptPractice.LoginPage_Assertion","TC_Login_001_SuccessfulLogin","TC_Login_001_SuccessfulLogin(String, String, String, boolean) [3] problem_user, secret_sauce, Swag Labs, false",""
"passed","Thu Sep 10 07:39:18 UTC 2026","Thu Sep 10 07:39:18 UTC 2026","512","","PlaywrightScriptPractice.LoginTest","","PlaywrightScriptPractice.LoginTest","TC_Login_002_UsernameFieldValidation","TC_Login_002_UsernameFieldValidation()",""
"passed","Thu Sep 10 07:38:05 UTC 2026","Thu Sep 10 07:38:14 UTC 2026","9258","","PlaywrightScriptPractice.GetByLabel_Locators_Test","","PlaywrightScriptPractice.GetByLabel_Locators_Test","Locators_GetByLabel","Locators_GetByLabel()",""
"passed","Thu Sep 10 07:38:24 UTC 2026","Thu Sep 10 07:38:35 UTC 2026","10201","","PlaywrightScriptPractice.Pagination_Locators_Test","","PlaywrightScriptPractice.Pagination_Locators_Test","Locators_activePageSearch","Locators_activePageSearch()",""
"passed","Thu Sep 10 07:40:02 UTC 2026","Thu Sep 10 07:40:09 UTC 2026","7382","","PlaywrightScriptPractice.LoginPage_Assertion","","PlaywrightScriptPractice.LoginPage_Assertion","TC_Login_001_SuccessfulLogin","TC_Login_001_SuccessfulLogin(String, String, String, boolean) [2] locked_out_user, secret_sauce, Swag Labs, false",""
"passed","Thu Sep 10 07:39:19 UTC 2026","Thu Sep 10 07:39:19 UTC 2026","331","","PlaywrightScriptPractice.LoginTest","","PlaywrightScriptPractice.LoginTest","TC_Login_005_InvalidPassword","TC_Login_005_InvalidPassword()",""
"passed","Thu Sep 10 07:38:35 UTC 2026","Thu Sep 10 07:38:48 UTC 2026","13953","","PlaywrightScriptPractice.Pagination_Locators_Test","","PlaywrightScriptPractice.Pagination_Locators_Test","Locators_allPageSearch","Locators_allPageSearch()",""
"passed","Thu Sep 10 07:38:49 UTC 2026","Thu Sep 10 07:39:01 UTC 2026","12591","","PlaywrightScriptPractice.DynamicTableContent_Locators_Test","","PlaywrightScriptPractice.DynamicTableContent_Locators_Test","Locators_DynamicTableContent","Locators_DynamicTableContent()",""
"passed","Thu Sep 10 07:40:33 UTC 2026","Thu Sep 10 07:40:43 UTC 2026","9730","","PlaywrightScriptPractice.BrokenLinks_Locators_Test","","PlaywrightScriptPractice.BrokenLinks_Locators_Test","Locators_BrokenLinks","Locators_BrokenLinks()",""
"passed","Thu Sep 10 07:39:18 UTC 2026","Thu Sep 10 07:39:18 UTC 2026","295","","PlaywrightScriptPractice.LoginTest","","PlaywrightScriptPractice.LoginTest","TC_Login_003_PasswordFieldValidation","TC_Login_003_PasswordFieldValidation()",""
"passed","Thu Sep 10 07:39:20 UTC 2026","Thu Sep 10 07:39:27 UTC 2026","7407","","PlaywrightScriptPractice.LoginTest","","PlaywrightScriptPractice.LoginTest","TC_Login_001_SuccessfulLogin","TC_Login_001_SuccessfulLogin(String, String) [1] standard_user, secret_sauce",""
"passed","Thu Sep 10 07:39:54 UTC 2026","Thu Sep 10 07:40:02 UTC 2026","7483","","PlaywrightScriptPractice.LoginPage_Assertion","","PlaywrightScriptPractice.LoginPage_Assertion","TC_Login_001_SuccessfulLogin","TC_Login_001_SuccessfulLogin(String, String, String, boolean) [1] standard_user, secret_sauce, Swag Labs, true",""
"passed","Thu Sep 10 07:39:20 UTC 2026","Thu Sep 10 07:39:20 UTC 2026","131","","PlaywrightScriptPractice.LoginTest","","PlaywrightScriptPractice.LoginTest","TC_Login_008_PasswordBoundaryValidation","TC_Login_008_PasswordBoundaryValidation()",""
"passed","Thu Sep 10 07:40:17 UTC 2026","Thu Sep 10 07:40:33 UTC 2026","16170","","PlaywrightScriptPractice.GetByRole_Locators_Test","","PlaywrightScriptPractice.GetByRole_Locators_Test","Locators_GetByRole","Locators_GetByRole()",""
"passed","Thu Sep 10 07:39:19 UTC 2026","Thu Sep 10 07:39:20 UTC 2026","330","","PlaywrightScriptPractice.LoginTest","","PlaywrightScriptPractice.LoginTest","TC_Login_007_EmptyUsernamePassword","TC_Login_007_EmptyUsernamePassword()",""
"passed","Thu Sep 10 07:39:02 UTC 2026","Thu Sep 10 07:39:09 UTC 2026","7190","","PlaywrightScriptPractice.TableContent_Locators_Test","","PlaywrightScriptPractice.TableContent_Locators_Test","Locators_TableContent","Locators_TableContent()",""
